 ;Startzeit;Fertigstellungszeit;Dauer (in min);Alter des Kindes;Startort für den Schulweg;Schulweg (in km);Wohnort;lng;lat;Fahrgemeinschaften;Zufriedenheit:Wegbeschaffenheit;Zufriedenheit:Sicherheit;Zufriedenheit:Zeitdauer;Zufriedenheit:Komfortabilität;Zufriedenheit:Sozialer Zusammenhalt;Zufriedenheit:Wegbeschaffenheit.1;Zufriedenheit:Sicherheit.1;Zufriedenheit:Zeitdauer.1;Zufriedenheit:Komfortabilität.1;Zufriedenheit:Sozialer Zusammenhalt.1;Wenn Du mit dem Auto zur Schule fährst - was sind die Gründe dafür?;Wie wichtig ist Dir eine umweltverträgliche Form des Schulweges?;Kannst Du Dir vorstellen, vom Auto auf eine andere Verkehrsart umzusteigen - wenn ja auf welche?;Was ich sonst noch hinzufügen möchte (Anregungen und Anmerkungen);Wenn Du möchtest - gib bitte Deinen Namen an, damit wir mit Dir ins Gespräch kommen können.
13;11.09.2024 10:56;11.09.2024 10:58;2;"Klasse 7-10;";Ich habe einen Wohnort;10.0;Klipphausen ;13.5293546;51.0749571;Ich fahre nicht mit dem Auto zur Schule;Unzufrieden;Unzufrieden;Unzufrieden;Sehr unzufrieden;Sehr unzufrieden;Sehr unzufrieden;Sehr unzufrieden;Unzufrieden;Sehr unzufrieden;Sehr unzufrieden;"Verfügbarkeit von Alternativen;Fehlende oder schlechte Verbindung mit Bus/ Bahn;Fehlende oder unsichere Radwege;";3;"Ich kann mir keinen Umstieg vorstellen.;";;
14;11.09.2024 11:19;11.09.2024 11:22;3;"Klasse 7-10;Gymnasium;";Ich habe einen Wohnort;1.0;Meißen ;13.4704939;51.1630871;Ich fahre nicht mit dem Auto zur Schule;;;;;;Sehr zufrieden;Zufrieden;Zufrieden;Zufrieden;Zufrieden;;4;;;Susanne Jacob-Lehmann 
15;11.09.2024 11:25;11.09.2024 11:31;6.0;"Gymnasium;";Ich habe einen Wohnort;21.0;Nossen;13.314546;51.1542557;Ich fahre nicht mit dem Auto zur Schule;Zufrieden;Zufrieden;Unzufrieden;Sehr unzufrieden;Zufrieden;;;;;;"Fehlende oder schlechte Verbindung mit Bus/ Bahn;Zeit/ Zeitersparnis;Bequemlichkeit;";1 (unwichtig) ;"Öffentliche Verkehrsmittel (Bus, Bahn, Straßenbahn);";Durch die veränderte Unterrichtszeit ist die Wartezeit auf den nächsten Bus teilweise sehr lang (>1h). ;
16;11.09.2024 11:51;11.09.2024 11:54;3;"Klasse 7-10;";zwei Wohnorte;12.0;Pinkowitz ;13.5476143;51.105054;Ja;Zufrieden;Zufrieden;Unzufrieden;Unzufrieden;Zufrieden;Zufrieden;Unzufrieden;Zufrieden;Unzufrieden;Zufrieden;"Zeit/ Zeitersparnis;Möglichkeit, mehrere eigene Kinder zu fahren;Bequemlichkeit;";2;"Fahrrad;Öffentliche Verkehrsmittel (Bus, Bahn, Straßenbahn);";;
17;11.09.2024 11:56;11.09.2024 12:05;9.0;"JG 5-6;Klasse 7-10;";Ich habe einen Wohnort;1.0;Meißen;13.4704939;51.1630871;Ich fahre nicht mit dem Auto zur Schule;;;;;;Sehr unzufrieden;Sehr unzufrieden;Sehr zufrieden;Zufrieden;Sehr zufrieden;;4;"Fahrrad;Zu Fuß;";;Anne Griesel
18;11.09.2024 12:12;11.09.2024 12:14;2;"Gymnasium;";Ich habe einen Wohnort;8.0;Weinböhla ;13.5643531;51.1618943;Ich fahre nicht mit dem Auto zur Schule;Zufrieden;Zufrieden;Zufrieden;Zufrieden;Zufrieden;;;;;;;3;"Ich kann mir keinen Umstieg vorstellen.;";Wir fahren elektrisch und 70% kommt vom eigenen Dach;Stephan Bissinger 
19;11.09.2024 12:17;11.09.2024 12:19;2;"JG 5-6;";Ich habe einen Wohnort;8.0;Zehren;13.4044411;51.1990779;Ich fahre nicht mit dem Auto zur Schule;Sehr zufrieden;Zufrieden;Zufrieden;Zufrieden;Zufrieden;;;;;;;3;;;
20;11.09.2024 12:20;11.09.2024 12:22;2;"Klasse 7-10;";Ich habe einen Wohnort;10.0;Weinböhla;13.5643531;51.1618943;Ich fahre nicht mit dem Auto zur Schule;Zufrieden;Zufrieden;Zufrieden;Zufrieden;Zufrieden;;;;;;"Verbindung mit dem Arbeitsweg der Eltern;Möglichkeit, Fahrgemeinschaften zu bilden;";2;;;
21;11.09.2024 12:40;11.09.2024 12:42;2;"JG 5-6;";Ich habe einen Wohnort;1.0;Meißen;13.4704939;51.1630871;Ich fahre nicht mit dem Auto zur Schule;;;;;;Zufrieden;Zufrieden;Sehr zufrieden;Zufrieden;Zufrieden;;4;;;
22;11.09.2024 13:25;11.09.2024 13:31;6.0;"JG 5-6;Klasse 7-10;";Ich habe einen Wohnort;3.0;Meißen;13.4704939;51.1630871;Nein;Zufrieden;Zufrieden;Sehr zufrieden;Zufrieden;Zufrieden;Zufrieden;Zufrieden;Zufrieden;Zufrieden;Zufrieden;"Zeit/ Zeitersparnis;Tagesablauf;Verbindung mit dem Arbeitsweg der Eltern;Möglichkeit, mehrere eigene Kinder zu fahren;";3;"Fahrrad;Öffentliche Verkehrsmittel (Bus, Bahn, Straßenbahn);";"Bei den Überlegungen zu einem umweltfreundlichen Schulweg sollte der Begriff ""umweltfreundlich"" etwas näher definiert werden, um besser zu differenzieren. Auch ist dabei die Unterrichtsgestaltung ein beeinflussendes Element - Ausfälle, Schulfreie Tage, Nachmittagsbeschäftigungen, ...";Ulf Quaas
23;11.09.2024 14:13;11.09.2024 14:17;4;"JG 5-6;Gymnasium;";Ich habe einen Wohnort;10.0;Ullendorf;13.4846077;51.1071984;Ich fahre nicht mit dem Auto zur Schule;Unzufrieden;Zufrieden;Sehr unzufrieden;Zufrieden;Unzufrieden;;;;;;"Fehlende oder schlechte Verbindung mit Bus/ Bahn;Fehlende oder unsichere Radwege;Verfügbarkeit von Alternativen;Verbindung mit dem Arbeitsweg der Eltern;";3;;Das schlecht bis gar nicht ausgebaute Fahrradwegenetz und die teils ungenügenden ÖPNV-Verbindungen sind die größten Hemmnisse auf das Auto zu verzichten.;
24;11.09.2024 16:06;11.09.2024 16:07;1;"Klasse 7-10;";Ich habe einen Wohnort;3.0;Meißen ;13.4704939;51.1630871;Nein;;;;;;Unzufrieden;Unzufrieden;Zufrieden;Zufrieden;Zufrieden;;3;"Fahrrad;Zu Fuß;";;
25;11.09.2024 16:08;11.09.2024 16:09;1;"JG 3-4;";Ich habe einen Wohnort;3.0;Meißen ;13.4704939;51.1630871;Ich fahre nicht mit dem Auto zur Schule;;;;;;Unzufrieden;Unzufrieden;Zufrieden;Zufrieden;Zufrieden;;3;"Fahrrad;Zu Fuß;";Ein Radweg auf der Zscheilaer Straße ist essentiell. Vom Brückenkopf zur Schule ;
26;11.09.2024 16:57;11.09.2024 16:58;1;"Klasse 7-10;";Ich habe einen Wohnort;0.3;Meißen;13.4704939;51.1630871;Ich fahre nicht mit dem Auto zur Schule;;;;;;Sehr zufrieden;Sehr zufrieden;Sehr zufrieden;Sehr zufrieden;Sehr zufrieden;;1 (unwichtig) ;"Ich kann mir keinen Umstieg vorstellen.;";;
27;11.09.2024 17:30;11.09.2024 17:33;3;"Gymnasium;";Ich habe einen Wohnort;19.0;Radebeul;13.6767995;51.0999765;Ja;Zufrieden;Zufrieden;Sehr unzufrieden;Unzufrieden;Unzufrieden;;;;;;"Fehlende oder schlechte Verbindung mit Bus/ Bahn;Zeit/ Zeitersparnis;Tagesablauf;Bequemlichkeit;";3;"Öffentliche Verkehrsmittel (Bus, Bahn, Straßenbahn);Ich bilde eine Fahrgemeinschaft mit anderen;";;
28;11.09.2024 18:38;11.09.2024 18:40;2;"JG 3-4;JG 5-6;Klasse 7-10;";Ich habe einen Wohnort;1.0;Meißen ;13.4704939;51.1630871;Ich fahre nicht mit dem Auto zur Schule;;;;;;Zufrieden;Unzufrieden;Sehr zufrieden;Zufrieden;Zufrieden;;4;;;
29;11.09.2024 19:04;11.09.2024 19:08;4;"JG 5-6;";Ich habe einen Wohnort;2.0;Meißen;13.4704939;51.1630871;Ich fahre nicht mit dem Auto zur Schule;;;;;;Sehr zufrieden;Sehr zufrieden;Sehr zufrieden;Sehr zufrieden;Sehr zufrieden;;3;;Die Baustelle auf dem Weg zur Schule unten an der Schule nervt mich.;Victoria Weiße
30;11.09.2024 20:01;11.09.2024 20:11;10.0;"Klasse 7-10;";Ich habe einen Wohnort;9.0;Käbschütztal, Stroischen;13.3886122;51.1514124;Ich fahre nicht mit dem Auto zur Schule;Zufrieden;Zufrieden;Unzufrieden;Zufrieden;Zufrieden;Unzufrieden;Unzufrieden;Zufrieden;Zufrieden;Unzufrieden;"Fehlende oder schlechte Verbindung mit Bus/ Bahn;";3;"Fahrrad;Ich kann mir keinen Umstieg vorstellen.;";;
31;11.09.2024 20:12;11.09.2024 20:14;2;"Gymnasium;";Ich habe einen Wohnort;15.0;COSWIG ;13.5783983;51.1267305;Ich fahre nicht mit dem Auto zur Schule;Zufrieden;Zufrieden;Zufrieden;Zufrieden;Zufrieden;;;;;;;2;;;
32;11.09.2024 20:43;11.09.2024 20:47;4;"JG 3-4;";Ich habe einen Wohnort;6.0;Diera-Zehren;13.423308136840287;51.21000095;Nein;Zufrieden;Unzufrieden;Zufrieden;Sehr zufrieden;Zufrieden;;;;;;"Zeit/ Zeitersparnis;Tagesablauf;Verbindung mit dem Arbeitsweg der Eltern;";3;"Ich kann mir keinen Umstieg vorstellen.;";;
33;11.09.2024 20:50;11.09.2024 21:02;12.0;"JG 5-6;Klasse 7-10;";Ich habe einen Wohnort;12.0;Großdobritz;13.5683602;51.2163401;Ja;Sehr unzufrieden;Sehr unzufrieden;Sehr unzufrieden;Unzufrieden;Zufrieden;;;;;;"Fehlende oder schlechte Verbindung mit Bus/ Bahn;Fehlende oder unsichere Radwege;Zeit/ Zeitersparnis;Verbindung mit dem Arbeitsweg der Eltern;Möglichkeit, mehrere eigene Kinder zu fahren;Möglichkeit, Fahrgemeinschaften zu bilden;";4;"Fahrrad;Öffentliche Verkehrsmittel (Bus, Bahn, Straßenbahn);";;Elisabeth Jüschke
34;11.09.2024 21:37;11.09.2024 21:39;2;"JG 1-2;Klasse 7-10;";Ich habe einen Wohnort;0.8;Meißen;13.4704939;51.1630871;Ich fahre nicht mit dem Auto zur Schule;;;;;;Sehr zufrieden;Zufrieden;Sehr zufrieden;Sehr zufrieden;Zufrieden;;3;;;Hutterer
35;11.09.2024 22:38;11.09.2024 22:40;2;"Klasse 7-10;JG 3-4;";Ich habe einen Wohnort;3.0;Meißen;13.4704939;51.1630871;Nein;Zufrieden;Zufrieden;Sehr zufrieden;Zufrieden;Zufrieden;Zufrieden;Zufrieden;Zufrieden;Zufrieden;Zufrieden;"Verbindung mit dem Arbeitsweg der Eltern;Möglichkeit, mehrere eigene Kinder zu fahren;";3;"Öffentliche Verkehrsmittel (Bus, Bahn, Straßenbahn);";;
36;12.09.2024 06:31;12.09.2024 06:34;3;"Gymnasium;";Ich habe einen Wohnort;3.0;Meißen ;13.4704939;51.1630871;Ich fahre nicht mit dem Auto zur Schule;Zufrieden;Zufrieden;Zufrieden;Zufrieden;Zufrieden;Zufrieden;Unzufrieden;Zufrieden;Zufrieden;Zufrieden;;3;;;
37;12.09.2024 06:53;12.09.2024 06:57;4;"JG 5-6;";Ich habe einen Wohnort;16.0;Klipphausen ;13.5293546;51.0749571;Ich fahre nicht mit dem Auto zur Schule;Zufrieden;Unzufrieden;Zufrieden;Unzufrieden;Zufrieden;;;;;;"Zeit/ Zeitersparnis;Möglichkeit, mehrere eigene Kinder zu fahren;Bequemlichkeit;";3;"Öffentliche Verkehrsmittel (Bus, Bahn, Straßenbahn);Ich bilde eine Fahrgemeinschaft mit anderen;";;
38;12.09.2024 07:12;12.09.2024 07:18;6.0;"JG 1-2;JG 5-6;Klasse 7-10;";Ich habe einen Wohnort;10.0;Gauernitz;13.5558206;51.1139914;Nein;Zufrieden;Zufrieden;Unzufrieden;Unzufrieden;;Zufrieden;Zufrieden;Zufrieden;Zufrieden;;"Fehlende oder schlechte Verbindung mit Bus/ Bahn;Verfügbarkeit von Alternativen;";3;"Öffentliche Verkehrsmittel (Bus, Bahn, Straßenbahn);Fahrrad;";"Unter ""sozialer Zusammenhalt"" konnte ich mir leider nichts vorstellen und habe die Felder daher freigelassen.";Matthias Vorhauer
39;12.09.2024 07:37;12.09.2024 07:42;5;"JG 5-6;Klasse 7-10;Gymnasium;";Ich habe einen Wohnort;11.0;Constappel;13.564806;51.1055778;Ja;Zufrieden;Zufrieden;Zufrieden;Zufrieden;Zufrieden;;;;;;"Verbindung mit dem Arbeitsweg der Eltern;";4;"Fahrrad;";1-2 Tage pro Woche fahren die Kinder mit im Auto auf dem Arbeitsweg. 3-4 Tage mit Bus. Wir denken über Kauf eines E-Bikes nach. Dann würden es noch mehr Bustage werden.;Aaron Fürmetz 
40;12.09.2024 10:11;12.09.2024 10:15;4;"JG 3-4;JG 5-6;Klasse 7-10;";Ich habe einen Wohnort;2.0;Meißen;13.4704939;51.1630871;Nein;Zufrieden;Zufrieden;Zufrieden;Zufrieden;Zufrieden;Unzufrieden;Unzufrieden;Sehr zufrieden;Zufrieden;Zufrieden;"Tagesablauf;Verbindung mit dem Arbeitsweg der Eltern;Bequemlichkeit;";1 (unwichtig) ;"Fahrrad;Zu Fuß;Öffentliche Verkehrsmittel (Bus, Bahn, Straßenbahn);";;
41;12.09.2024 10:30;12.09.2024 10:33;3;"Gymnasium;";Ich habe einen Wohnort;25.0;Tanneberg;13.4119264;51.0509902;Ich fahre nicht mit dem Auto zur Schule;Sehr zufrieden;Sehr zufrieden;Zufrieden;Sehr zufrieden;Sehr zufrieden;;;;;;;3;;;
42;12.09.2024 12:20;12.09.2024 12:24;4;"JG 5-6;";Ich habe einen Wohnort;17.0;Schwochau;13.2923026;51.182993;Ich fahre nicht mit dem Auto zur Schule;Zufrieden;Zufrieden;Zufrieden;Zufrieden;Zufrieden;;;;;;;3;;;
43;12.09.2024 15:08;12.09.2024 15:13;5;"JG 3-4;JG 5-6;Klasse 7-10;";Ich habe einen Wohnort;15.0;Cossebaude;13.6298379;51.0876124;Ich fahre nicht mit dem Auto zur Schule;Unzufrieden;;Sehr unzufrieden;Zufrieden;Sehr zufrieden;Zufrieden;Zufrieden;Sehr unzufrieden;Zufrieden;Sehr unzufrieden;;4;;;
44;12.09.2024 20:02;12.09.2024 20:14;12.0;"JG 1-2;JG 5-6;Gymnasium;";Ich habe einen Wohnort;15.0;Coswig ;13.5783983;51.1267305;Ich fahre nicht mit dem Auto zur Schule;Zufrieden;Unzufrieden;Zufrieden;Zufrieden;Unzufrieden;Zufrieden;Sehr unzufrieden;Zufrieden;Zufrieden;Sehr unzufrieden;;4;;"Ein großes Problem ist, das der Fußweg im Bereich der Schule in den Komm- und Abholzeiten zugeparkt ist. Zusätzlich besteht Parkverbot!
Das ist nicht nur ein Verstoß gegen die STVO, sondern hochgradig gefährlich und egoistisch. Wenn ich Eltern daraufhin anspreche, dass Kinder nicht über ihr Auto drüber schauen können, das sie nicht vorbei kommen usw. wird das zwar kommentiert: ""Ja, ich weiß, die Parksituation ist halt schwierig usw."" Aber sie bleiben stehen und gehen schnell weg. 
Ich bin da echt sauer. Alle Eltern wollen einen sicheren Weg für ihr Kind. Wir laufen auch vom Bahnhof zur Schule und müssen dafür Zeit einplanen. Offensichtlich besteht dieses Problem schon lange. Warum wird es ignoriert?
Eine Anregung für das Jahresmotto wäre es auch...
Wer sich klimafreundlich zur Schule bewegt, muss auf dem Fußweg sicher laufen können!!!
Wäre ein Zebrastreifen ab der Schule eine zusätzliche Möglichkeit?";
45;13.09.2024 07:24;13.09.2024 07:29;5;"JG 5-6;Klasse 7-10;";Ich habe einen Wohnort;15.0;Taubenheim (Klipphausen);13.4619324;51.0948532;Nein;Zufrieden;Unzufrieden;Zufrieden;Zufrieden;Zufrieden;;;;;;"Fehlende oder schlechte Verbindung mit Bus/ Bahn;Tagesablauf;";3;"Öffentliche Verkehrsmittel (Bus, Bahn, Straßenbahn);Ich bilde eine Fahrgemeinschaft mit anderen;";Problem beim ÖPNV ist die Taktung. Der Bus fährt zu selten. ;
46;13.09.2024 09:56;13.09.2024 10:12;16.0;"JG 5-6;Klasse 7-10;";Ich habe einen Wohnort;9.0;Naustadt;13.5100684;51.1130802;Nein;Sehr zufrieden;Zufrieden;Sehr zufrieden;Sehr zufrieden;Sehr zufrieden;;;;;;;3;"Ich kann mir keinen Umstieg vorstellen.;";"Die Kinder steigen früh an der Bahnhofstraße aus. Dort finde ich die Straßenüberquerung nicht wirklich sicher, da die Straße sehr breit ist und viel Verkehr herrscht. Vor allem in der dunklen Jahreszeit und bei Regen hat man dort bei einer Straßenüberquerung ein mulmiges Gefühl.
Mit einer Insel in der Mitte der Straße vielleicht sogar noch im Zusammenhang mit einem Zebrastreifen wäre dort viel getan.
Ich wundere mich sehr, dass die Stadt dort nicht schon lange etwas geändert hat. Schon zu meiner Schulzeit vor 20 Jahren, war diese Stelle meines Erachtens ein Problem. Man könnte natürlich bis zum Busbahnhof fahren, aber die meisten Schüler (auch des Franziskaneums) steigen an der Bahnhofstraße aus, da der Weg einfach kürzer ist.
Den meisten Schutz für den Einzelnen bildet dann einfach die Menge der Schüler, die dort über die Straße strömen..";Henriette Preuß
47;13.09.2024 12:16;13.09.2024 12:19;3;"Gymnasium;";zwei Wohnorte;22.0;Radebeul;13.6767995;51.0999765;Ich fahre nicht mit dem Auto zur Schule;Zufrieden;Zufrieden;Zufrieden;Zufrieden;Zufrieden;;;;;;;3;"Ich kann mir keinen Umstieg vorstellen.;";;
48;13.09.2024 18:05;13.09.2024 18:11;6.0;"JG 1-2;Klasse 7-10;";Ich habe einen Wohnort;1.0;Meißen;13.4704939;51.1630871;Ich fahre nicht mit dem Auto zur Schule;;;;;;Zufrieden;Unzufrieden;Sehr zufrieden;Unzufrieden;Zufrieden;;3;;Separate Radwege, viel mehr Fussübergangstreifen, Tempo-Reduzierung in Innenstädten ;Mirko
49;13.09.2024 20:40;13.09.2024 20:46;6.0;"Gymnasium;";Ich habe einen Wohnort;18.0;Hkggvkll;;;Nein;;;;;;;;;;;"Zeit/ Zeitersparnis;Tagesablauf;Bequemlichkeit;";1 (unwichtig) ;"Ich kann mir keinen Umstieg vorstellen.;";Bei dem Stundenplanausfall und den Umplanungen ist man ohne Auto „auf verlorenem Posten“, von Schülern wird ja verlangt mit dem Auto zum Schwimmen oder nach Rossendorf zu fahren. 🤷🏼‍♀️ ;
50;14.09.2024 15:28;14.09.2024 15:32;4;"JG 3-4;Klasse 7-10;";Ich habe einen Wohnort;11.0;Großdobritz;13.5683602;51.2163401;Nein;Unzufrieden;Unzufrieden;Sehr unzufrieden;Zufrieden;Zufrieden;Unzufrieden;Sehr unzufrieden;Unzufrieden;Sehr unzufrieden;Zufrieden;"Fehlende oder unsichere Radwege;Verfügbarkeit von Alternativen;Zeit/ Zeitersparnis;Fehlende oder schlechte Verbindung mit Bus/ Bahn;Tagesablauf;Verbindung mit dem Arbeitsweg der Eltern;Möglichkeit, Fahrgemeinschaften zu bilden;Bequemlichkeit;";2;"Ich bilde eine Fahrgemeinschaft mit anderen;Ich kann mir keinen Umstieg vorstellen.;Öffentliche Verkehrsmittel (Bus, Bahn, Straßenbahn);";;
51;14.09.2024 17:40;14.09.2024 17:41;1;"Gymnasium;";Ich habe einen Wohnort;8.0;Triebischtal;13.4591312;51.1486356;Ich fahre nicht mit dem Auto zur Schule;Zufrieden;Zufrieden;Zufrieden;Zufrieden;Zufrieden;;;;;;;4;"Fahrrad;Ich bilde eine Fahrgemeinschaft mit anderen;";;
52;15.09.2024 11:22;15.09.2024 11:26;4;"JG 5-6;";zwei Wohnorte;8.0;Weinböhla;13.5643531;51.1618943;Nein;Zufrieden;Unzufrieden;Zufrieden;Zufrieden;Unzufrieden;;;;;;"Verbindung mit dem Arbeitsweg der Eltern;";2;"Öffentliche Verkehrsmittel (Bus, Bahn, Straßenbahn);";Nur einfache Fahrt mit dem Auto, Rückweg mit ÖPNV;Philipp
53;16.09.2024 05:15;16.09.2024 05:21;6.0;"JG 3-4;Klasse 7-10;";Ich habe einen Wohnort;13.0;Steinbach (Moritzburg);13.6251896;51.2011467;Nein;;;;;;;;;;;"Fehlende oder schlechte Verbindung mit Bus/ Bahn;Fehlende oder unsichere Radwege;Zeit/ Zeitersparnis;Verbindung mit dem Arbeitsweg der Eltern;Möglichkeit, mehrere eigene Kinder zu fahren;";3;"Fahrrad;Öffentliche Verkehrsmittel (Bus, Bahn, Straßenbahn);";;
54;16.09.2024 12:20;16.09.2024 12:22;2;"Klasse 7-10;";Ich habe einen Wohnort;2.1;Meißen ;13.4704939;51.1630871;Nein;Zufrieden;Unzufrieden;Zufrieden;Zufrieden;Zufrieden;;;;;;"Zeit/ Zeitersparnis;Verbindung mit dem Arbeitsweg der Eltern;";3;"Ich kann mir keinen Umstieg vorstellen.;";;
55;17.09.2024 13:22;17.09.2024 13:25;3;"Gymnasium;";Ich habe einen Wohnort;20.0;Churschütz;13.2449275;51.1741302;Nein;;;;;;;;;;;"Zeit/ Zeitersparnis;Bequemlichkeit;";2;"Ich kann mir keinen Umstieg vorstellen.;";;
56;17.09.2024 23:25;17.09.2024 23:27;2;"JG 1-2;JG 3-4;JG 5-6;";Ich habe einen Wohnort;20.0;Moritzburg ;13.6819406;51.1592018;Nein;Zufrieden;Zufrieden;Sehr unzufrieden;Sehr unzufrieden;Sehr zufrieden;Unzufrieden;Unzufrieden;Sehr unzufrieden;Unzufrieden;Sehr zufrieden;"Fehlende oder schlechte Verbindung mit Bus/ Bahn;Zeit/ Zeitersparnis;Verbindung mit dem Arbeitsweg der Eltern;Möglichkeit, mehrere eigene Kinder zu fahren;Möglichkeit, Fahrgemeinschaften zu bilden;";4;"Öffentliche Verkehrsmittel (Bus, Bahn, Straßenbahn);Fahrrad;";;
57;18.09.2024 11:05;18.09.2024 11:08;3;"JG 3-4;";Ich habe einen Wohnort;4.0;Meißen ;13.4704939;51.1630871;Nein;;;;;;;;;;;"Fehlende oder unsichere Radwege;";3;"Zu Fuß;";;
